,date,playoff,HOME,AWAY,ELO_H,ELO_A,ELO_Ha,ELO_Aa,H_SCORE,A_SCORE,LAST_5_H,LAST_5_A,BACK_H,BACK_A,WL
45,2018-10-22,,POR,WAS,1572.4589,1488.071632,1565.413694,1495.116838,124,125,124.5,112.5,0,0,0
46,2018-10-22,,LAL,SAS,1477.943541,1536.45282,1473.265966,1541.130394,142,143,117.0,110.0,0,0,0
47,2018-10-22,,GSW,PHO,1688.180197,1344.275974,1689.922513,1342.533658,123,103,110.0,106.0,1,0,1
48,2018-10-23,,DET,PHI,1499.090912,1598.773282,1503.128101,1594.736092,133,132,110.5,121.5,0,0,1
49,2018-10-23,,NOP,LAC,1596.847544,1514.138138,1600.647962,1510.337719,116,109,140.0,107.0,0,0,1
50,2018-10-23,,DEN,SAC,1587.069384,1411.574623,1590.651888,1407.992119,126,112,108.66666666666667,125.66666666666667,0,0,1
51,2018-10-24,,CLE,BRK,1507.659704,1426.38679,1483.339541,1450.706954,86,102,112.66666666666667,106.33333333333333,0,0,0
52,2018-10-24,,ATL,DAL,1406.551396,1391.680704,1411.797685,1386.434415,111,104,119.0,118.33333333333333,0,0,1
53,2018-10-24,,MIA,NYK,1493.710862,1408.037975,1501.753711,1399.995127,110,87,108.66666666666667,111.25,0,0,1
54,2018-10-24,,TOR,MIN,1605.520666,1539.331485,1609.642534,1535.209617,112,105,118.25,119.0,0,0,1
55,2018-10-24,,HOU,UTA,1628.433626,1600.978167,1611.865365,1617.546428,89,100,116.0,110.0,0,0,0
56,2018-10-24,,CHI,CHO,1351.721655,1515.751454,1357.742458,1509.730651,112,110,111.0,112.75,0,0,1
57,2018-10-24,,SAS,IND,1541.130394,1547.537742,1518.766863,1569.901274,96,116,121.0,108.75,0,0,0
58,2018-10-24,,MIL,PHI,1538.695357,1594.736092,1550.064562,1583.366887,123,108,118.33333333333333,125.0,0,1,1
59,2018-10-24,,PHO,LAL,1342.533658,1473.265966,1328.98009,1486.819534,113,131,105.0,125.33333333333333,0,0,0
60,2018-10-24,,SAC,MEM,1407.992119,1393.551458,1412.389254,1389.154323,97,92,122.25,102.0,1,0,1
61,2018-10-24,,GSW,WAS,1689.922513,1495.116838,1694.3106,1490.728751,144,122,113.25,116.66666666666667,0,0,1
62,2018-10-25,,ORL,POR,1373.905133,1565.413694,1365.006237,1574.31259,114,128,100.0,124.33333333333333,0,0,0
63,2018-10-25,,DET,CLE,1503.128101,1483.339541,1508.258397,1478.209245,110,103,118.0,106.0,0,1,1
64,2018-10-25,,OKC,BOS,1543.602601,1557.690507,1533.286804,1568.006304,95,101,104.0,98.0,0,0,0
65,2018-10-25,,LAL,DEN,1486.819534,1590.651888,1495.351248,1582.120174,121,114,126.75,113.0,1,0,1
66,2018-10-26,,CHO,CHI,1509.730651,1357.742458,1516.474256,1350.998853,135,106,112.2,111.25,0,0,1
67,2018-10-26,,TOR,DAL,1609.642534,1386.434415,1611.725172,1384.351777,116,107,117.0,114.75,0,0,1
68,2018-10-26,,NYK,GSW,1399.995127,1694.3106,1391.129094,1703.176632,100,128,106.4,119.4,0,0,0
69,2018-10-26,,NOP,BRK,1600.647962,1450.706954,1602.192085,1449.162831,117,115,132.0,105.25,0,0,1
70,2018-10-26,,HOU,LAC,1611.865365,1510.337719,1582.129028,1540.074057,113,133,109.25,107.5,0,0,0
71,2018-10-26,,MIN,MIL,1535.209617,1550.064562,1506.108715,1579.165464,95,125,116.2,119.5,0,0,0
72,2018-10-26,,SAC,WAS,1412.389254,1490.728751,1418.21883,1484.899175,116,112,117.2,118.0,0,0,1
73,2018-10-27,,NOP,UTA,1602.192085,1617.546428,1579.670266,1640.068246,111,132,128.25,107.5,1,0,0
74,2018-10-27,,DET,BOS,1508.258397,1568.006304,1489.380956,1586.883746,89,109,116.0,98.75,0,0,0
75,2018-10-27,,CLE,IND,1478.209245,1569.901274,1466.215117,1581.895402,107,119,105.4,110.2,0,0,0
76,2018-10-27,,PHI,CHO,1583.366887,1516.474256,1585.726187,1514.114956,105,103,120.75,116.8,0,1,1
77,2018-10-27,,ATL,CHI,1411.797685,1350.998853,1392.669625,1370.126912,85,97,117.0,110.2,0,1,0
78,2018-10-27,,MEM,PHO,1389.154323,1328.98009,1397.703472,1320.430941,117,96,99.5,107.0,0,0,1
79,2018-10-27,,MIA,POR,1501.753711,1574.31259,1510.527723,1565.538578,120,111,109.0,125.25,0,0,1
80,2018-10-27,,SAS,LAL,1518.766863,1495.351248,1522.56013,1491.55798,110,106,114.75,125.6,0,0,1
81,2018-10-27,,MIL,ORL,1579.165464,1365.006237,1583.106703,1361.064997,113,91,120.6,102.8,1,0,1
82,2018-10-28,,BRK,GSW,1449.162831,1703.176632,1445.14481,1707.194653,114,120,107.2,123.4,0,0,0
83,2018-10-28,,OKC,PHO,1533.286804,1320.430941,1535.1942,1318.523545,117,110,101.75,104.8,0,1,1
84,2018-10-28,,DAL,UTA,1384.351777,1640.068246,1379.335077,1645.084946,104,113,113.2,112.4,0,1,0
85,2018-10-28,,LAC,WAS,1540.074057,1484.899175,1551.916902,1473.056331,136,104,112.6,116.8,0,0,1
86,2018-10-29,,PHI,ATL,1585.726187,1392.669625,1590.014406,1388.381406,113,92,117.6,110.6,0,0,1
87,2018-10-29,,IND,POR,1581.895402,1565.538578,1566.757694,1580.676285,93,103,111.8,122.4,0,0,0
88,2018-10-29,,NYK,BRK,1391.129094,1445.14481,1404.369887,1431.904017,115,96,101.2,110.0,0,1,1
89,2018-10-29,,MIA,SAC,1510.527723,1418.21883,1492.092614,1436.653939,113,123,111.2,117.0,0,0,0
90,2018-10-29,,MIN,LAL,1506.108715,1491.55798,1510.058377,1487.608319,124,120,113.6,123.0,0,0,1
91,2018-10-29,,CHI,GSW,1370.126912,1707.194653,1363.568472,1713.753094,124,149,108.0,122.6,0,1,0
92,2018-10-29,,MIL,TOR,1583.106703,1611.725172,1593.262393,1601.569482,124,109,120.6,117.0,0,0,1
93,2018-10-29,,SAS,DAL,1522.56013,1379.335077,1524.890618,1377.00459,113,108,113.8,114.0,0,1,1
94,2018-10-29,,DEN,NOP,1582.120174,1579.670266,1586.760232,1575.030208,116,111,113.2,124.8,0,0,1
95,2018-10-30,,CHO,MIA,1514.114956,1492.092614,1521.138904,1485.068667,125,113,113.4,113.6,0,1,1
96,2018-10-30,,ORL,SAC,1361.064997,1436.653939,1351.155291,1446.563646,99,107,100.2,115.8,0,1,0
97,2018-10-30,,CLE,ATL,1466.215117,1388.381406,1474.318465,1380.278058,136,114,106.0,107.6,0,1,1
98,2018-10-30,,TOR,PHI,1601.569482,1590.014406,1610.841658,1580.74223,129,112,116.2,114.8,1,1,1
99,2018-10-30,,BOS,DET,1586.883746,1489.380956,1589.228969,1487.035733,108,105,100.8,110.6,0,0,1
100,2018-10-30,,HOU,POR,1582.129028,1580.676285,1560.039022,1602.766291,85,104,110.0,117.4,0,1,0
101,2018-10-30,,MEM,WAS,1397.703472,1473.056331,1408.306526,1462.453277,107,95,103.0,115.2,0,0,1
102,2018-10-30,,OKC,LAC,1535.1942,1551.916902,1546.114868,1540.996234,128,110,104.8,120.2,0,0,1
103,2018-10-31,,BRK,DET,1431.904017,1487.035733,1435.304764,1483.634985,120,119,107.8,111.0,0,1,1
104,2018-10-31,,MIN,UTA,1510.058377,1645.084946,1516.388074,1638.755249,128,125,112.2,110.4,0,0,1
105,2018-10-31,,CHI,DEN,1363.568472,1586.760232,1361.141699,1589.187004,107,108,109.6,115.0,0,0,0
106,2018-10-31,,NYK,IND,1404.369887,1566.757694,1398.313252,1572.814329,101,107,103.2,110.2,0,0,0
107,2018-10-31,,PHO,SAS,1318.523545,1524.890618,1304.35643,1539.057733,90,120,102.6,114.0,0,0,0
108,2018-10-31,,GSW,NOP,1713.753094,1575.030208,1717.272316,1571.510986,131,121,132.8,120.8,0,0,1
109,2018-10-31,,LAL,DAL,1487.608319,1377.00459,1489.194588,1375.418321,114,113,124.0,107.6,0,0,1
110,2018-11-01,,CHO,OKC,1521.138904,1546.114868,1512.980021,1554.273751,107,111,115.8,110.4,0,0,0
111,2018-11-01,,CLE,DEN,1474.318465,1589.187004,1459.364435,1604.141035,91,110,108.6,112.8,0,1,0
112,2018-11-01,,PHI,LAC,1580.74223,1540.996234,1586.154178,1535.584286,122,113,114.0,120.6,0,0,1
113,2018-11-01,,ATL,SAC,1380.278058,1446.563646,1355.037567,1471.804137,115,146,107.0,111.0,0,0,0
114,2018-11-01,,BOS,MIL,1589.228969,1593.262393,1593.520123,1588.971239,117,113,102.2,121.8,0,0,1
115,2018-11-01,,POR,NOP,1602.766291,1571.510986,1609.854242,1564.423036,132,119,114.0,115.2,0,1,1
116,2018-11-02,,ORL,LAC,1351.155291,1535.584286,1337.476593,1549.262983,95,120,102.4,120.2,0,1,0
117,2018-11-02,,BRK,HOU,1435.304764,1560.039022,1427.034377,1568.309408,111,119,109.4,104.6,0,0,0
118,2018-11-02,,WAS,OKC,1462.453277,1554.273751,1443.837864,1572.889164,111,134,111.6,114.2,0,1,0
119,2018-11-02,,CHI,IND,1361.141699,1572.814329,1358.084642,1575.871386,105,107,109.2,105.2,0,0,0
120,2018-11-02,,DAL,NYK,1375.418321,1398.313252,1360.309316,1413.422257,106,118,107.2,103.2,0,0,0
121,2018-11-02,,UTA,MEM,1638.755249,1408.306526,1614.205466,1432.856309,100,110,110.8,107.8,0,0,0
122,2018-11-02,,PHO,TOR,1304.35643,1610.841658,1300.455089,1614.742999,98,107,102.4,118.6,0,0,0
123,2018-11-02,,GSW,MIN,1717.272316,1516.388074,1720.82179,1512.8386,116,99,134.4,110.6,0,0,1
124,2018-11-03,,PHI,DET,1586.154178,1483.634985,1590.398294,1479.390869,109,99,112.0,111.2,0,0,1
125,2018-11-03,,CHO,CLE,1512.980021,1459.364435,1524.911675,1447.432781,126,94,116.0,104.6,0,0,1
126,2018-11-03,,IND,BOS,1575.871386,1593.520123,1578.781111,1590.610398,102,101,108.4,105.0,1,0,1
127,2018-11-03,,ATL,MIA,1355.037567,1485.068667,1362.869888,1477.236345,123,118,103.4,113.6,0,0,1
128,2018-11-03,,CHI,HOU,1358.084642,1568.309408,1352.302714,1574.091336,88,96,107.8,103.6,1,1,0
129,2018-11-03,,SAS,NOP,1539.057733,1564.423036,1548.626898,1554.85387,109,95,116.4,115.8,0,0,1
130,2018-11-03,,DEN,UTA,1604.141035,1614.205466,1613.520387,1604.826114,103,88,114.8,114.0,0,1,1
131,2018-11-03,,POR,LAL,1609.854242,1489.194588,1597.861265,1501.187565,110,114,115.6,118.4,0,0,0
132,2018-11-04,,MIL,SAC,1588.971239,1471.804137,1598.258934,1462.516442,144,109,119.6,117.8,0,0,1
133,2018-11-04,,WAS,NYK,1443.837864,1413.422257,1450.953471,1406.30665,108,95,108.8,104.2,0,0,1
134,2018-11-04,,BRK,PHI,1427.034377,1590.398294,1450.872918,1566.559753,122,97,111.2,112.2,0,1,1
135,2018-11-04,,SAS,ORL,1548.626898,1337.476593,1529.427106,1356.676385,110,117,109.6,98.4,1,0,0
136,2018-11-04,,PHO,MEM,1300.455089,1432.856309,1305.876798,1427.4346,102,100,101.4,103.6,0,0,1
137,2018-11-04,,POR,MIN,1597.861265,1512.8386,1607.625732,1503.074133,111,81,112.0,110.2,1,0,1
138,2018-11-04,,LAL,TOR,1501.187565,1614.742999,1488.960032,1626.970532,107,121,115.0,114.6,1,0,0
139,2018-11-05,,IND,HOU,1578.781111,1574.091336,1569.85953,1583.012916,94,98,105.6,100.4,0,0,0
140,2018-11-05,,DET,MIA,1479.390869,1477.236345,1469.536645,1487.090569,115,120,104.4,114.8,0,0,0
141,2018-11-05,,ORL,CLE,1356.676385,1447.432781,1361.345202,1442.763964,102,100,103.2,106.2,1,0,1
142,2018-11-05,,NYK,CHI,1406.30665,1352.302714,1399.777511,1358.831853,115,116,105.8,104.2,1,0,0
