,date,HOME,AWAY,ELO_H,ELO_A,H_SCORE,A_SCORE,LAST_5_H,LAST_5_A,A_SCORE,BACK_H,BACK_A,WL
82,10/28/2018,BKN,GSW,1449.162831,1703.176632,114,120,107.2,123.4,120,0,0,0
83,10/28/2018,OKC,PHO,1533.286804,1320.430941,117,110,101.75,104.8,110,0,1,1
84,10/28/2018,DAL,UTA,1384.351777,1640.068246,104,113,113.2,112.4,113,0,1,0
85,10/28/2018,LAC,WAS,1540.074057,1484.899175,136,104,112.6,116.8,104,0,0,1
86,10/29/2018,PHI,ATL,1585.726187,1392.669625,113,92,117.6,110.6,92,0,0,1
87,10/29/2018,IND,POR,1581.895402,1565.538578,93,103,111.8,122.4,103,0,0,0
88,10/29/2018,NYK,BKN,1391.129094,1445.14481,115,96,101.2,110,96,0,1,1
89,10/29/2018,MIA,SAC,1510.527723,1418.21883,113,123,111.2,117,123,0,0,0
90,10/29/2018,MIN,LAL,1506.108715,1491.55798,124,120,113.6,123,120,0,0,1
91,10/29/2018,CHI,GSW,1370.126912,1707.194653,124,149,108,122.6,149,0,1,0
92,10/29/2018,MIL,TOR,1583.106703,1611.725172,124,109,120.6,117,109,0,0,1
93,10/29/2018,SAS,DAL,1522.56013,1379.335077,113,108,113.8,114,108,0,1,1
94,10/29/2018,DEN,NOP,1582.120174,1579.670266,116,111,113.2,124.8,111,0,0,1
95,10/30/2018,CHA,MIA,1514.114956,1492.092614,125,113,113.4,113.6,113,0,1,1
96,10/30/2018,ORL,SAC,1361.064997,1436.653939,99,107,100.2,115.8,107,0,1,0
97,10/30/2018,CLE,ATL,1466.215117,1388.381406,136,114,106,107.6,114,0,1,1
98,10/30/2018,TOR,PHI,1601.569482,1590.014406,129,112,116.2,114.8,112,1,1,1
99,10/30/2018,BOS,DET,1586.883746,1489.380956,108,105,100.8,110.6,105,0,0,1
100,10/30/2018,HOU,POR,1582.129028,1580.676285,85,104,110,117.4,104,0,1,0
101,10/30/2018,MEM,WAS,1397.703472,1473.056331,107,95,103,115.2,95,0,0,1
102,10/30/2018,OKC,LAC,1535.1942,1551.916902,128,110,104.8,120.2,110,0,0,1
103,10/31/2018,BKN,DET,1431.904017,1487.035733,120,119,107.8,111,119,0,1,1
104,10/31/2018,MIN,UTA,1510.058377,1645.084946,128,125,112.2,110.4,125,0,0,1
105,10/31/2018,CHI,DEN,1363.568472,1586.760232,107,108,109.6,115,108,0,0,0
106,10/31/2018,NYK,IND,1404.369887,1566.757694,101,107,103.2,110.2,107,0,0,0
107,10/31/2018,PHO,SAS,1318.523545,1524.890618,90,120,102.6,114,120,0,0,0
108,10/31/2018,GSW,NOP,1713.753094,1575.030208,131,121,132.8,120.8,121,0,0,1
109,10/31/2018,LAL,DAL,1487.608319,1377.00459,114,113,124,107.6,113,0,0,1
110,11/1/2018,CHA,OKC,1521.138904,1546.114868,107,111,115.8,110.4,111,0,0,0
111,11/1/2018,CLE,DEN,1474.318465,1589.187004,91,110,108.6,112.8,110,0,1,0
112,11/1/2018,PHI,LAC,1580.74223,1540.996234,122,113,114,120.6,113,0,0,1
113,11/1/2018,ATL,SAC,1380.278058,1446.563646,115,146,107,111,146,0,0,0
114,11/1/2018,BOS,MIL,1589.228969,1593.262393,117,113,102.2,121.8,113,0,0,1
115,11/1/2018,POR,NOP,1602.766291,1571.510986,132,119,114,115.2,119,0,1,1
116,11/2/2018,ORL,LAC,1351.155291,1535.584286,95,120,102.4,120.2,120,0,1,0
117,11/2/2018,BKN,HOU,1435.304764,1560.039022,111,119,109.4,104.6,119,0,0,0
118,11/2/2018,WAS,OKC,1462.453277,1554.273751,111,134,111.6,114.2,134,0,1,0
119,11/2/2018,CHI,IND,1361.141699,1572.814329,105,107,109.2,105.2,107,0,0,0
120,11/2/2018,DAL,NYK,1375.418321,1398.313252,106,118,107.2,103.2,118,0,0,0
121,11/2/2018,UTA,MEM,1638.755249,1408.306526,100,110,110.8,107.8,110,0,0,0
122,11/2/2018,PHO,TOR,1304.35643,1610.841658,98,107,102.4,118.6,107,0,0,0
123,11/2/2018,GSW,MIN,1717.272316,1516.388074,116,99,134.4,110.6,99,0,0,1
124,11/3/2018,PHI,DET,1586.154178,1483.634985,109,99,112,111.2,99,0,0,1
125,11/3/2018,CHA,CLE,1512.980021,1459.364435,126,94,116,104.6,94,0,0,1
126,11/3/2018,IND,BOS,1575.871386,1593.520123,102,101,108.4,105,101,1,0,1
127,11/3/2018,ATL,MIA,1355.037567,1485.068667,123,118,103.4,113.6,118,0,0,1
128,11/3/2018,CHI,HOU,1358.084642,1568.309408,88,96,107.8,103.6,96,1,1,0
129,11/3/2018,SAS,NOP,1539.057733,1564.423036,109,95,116.4,115.8,95,0,0,1
130,11/3/2018,DEN,UTA,1604.141035,1614.205466,103,88,114.8,114,88,0,1,1
131,11/3/2018,POR,LAL,1609.854242,1489.194588,110,114,115.6,118.4,114,0,0,0
132,11/4/2018,MIL,SAC,1588.971239,1471.804137,144,109,119.6,117.8,109,0,0,1
133,11/4/2018,WAS,NYK,1443.837864,1413.422257,108,95,108.8,104.2,95,0,0,1
134,11/4/2018,BKN,PHI,1427.034377,1590.398294,122,97,111.2,112.2,97,0,1,1
135,11/4/2018,SAS,ORL,1548.626898,1337.476593,110,117,109.6,98.4,117,1,0,0
136,11/4/2018,PHO,MEM,1300.455089,1432.856309,102,100,101.4,103.6,100,0,0,1
137,11/4/2018,POR,MIN,1597.861265,1512.8386,111,81,112,110.2,81,1,0,1
